id,status,tempo,resposta
15,200,4.2,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
10,200,8.32,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
11,200,8.89,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
9,200,1.73,"{""resposta"":""Peço desculpas pelo erro anterior. Estou funcionando novamente!\n\nAqui vai uma curiosidade para você: Did you know that there is a species of jellyfish that is immortal? The Turritopsis "
5,200,3.23,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
2,200,3.19,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
3,200,3.14,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
10,200,2.5,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
1,200,4.22,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
4,200,6.08,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
8,200,6.03,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
6,200,6.1,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
7,200,6.08,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
12,200,3.83,"{""resposta"":""Peço desculpas pelo erro anterior. Estou funcionando novamente!\n\nAqui vai uma curiosidade para você: Did you know that there is a species of jellyfish that is immortal? The Turritopsis "
0,200,7.45,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
15,200,3.97,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
11,200,5.16,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
13,200,5.36,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
14,200,4.07,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
17,200,3.64,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
16,200,3.67,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
20,200,2.7,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
18,200,3.75,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
21,200,3.14,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
19,200,4.66,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
22,200,2.93,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
28,200,1.43,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
23,200,4.9,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
24,200,4.88,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
26,200,3.49,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
25,200,4.77,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
27,200,3.34,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
29,200,3.5,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
9,200,1.79,"{""resposta"":""Peço desculpas pelo erro anterior. Estou funcionando novamente!\n\nAqui vai uma curiosidade: Did you know that there is a species of jellyfish that is immortal? The Turritopsis dohrnii, a"
1,200,3.15,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
8,200,3.15,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
4,200,3.25,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
0,200,3.23,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
2,200,3.19,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
3,200,3.54,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
10,200,2.89,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
5,200,4.69,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
7,200,4.71,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
6,200,4.67,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
13,200,1.77,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
16,200,2.89,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
12,200,3.58,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
11,200,3.45,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
15,200,3.54,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
14,200,3.23,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
19,200,3.56,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
20,200,3.57,"{""resposta"":""Peço desculpas pelo erro anterior. Estou funcionando novamente!\n\nAqui vai uma curiosidade para você: Did you know that there is a species of jellyfish that is immortal? The Turritopsis "
21,200,4.15,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
17,200,4.52,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
18,200,4.64,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
24,200,3.04,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
27,200,4.56,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
22,200,6.36,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
25,200,6.15,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
26,200,6.1,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
28,200,4.43,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
23,200,6.17,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
29,200,4.35,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
32,200,3.72,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
36,200,8.25,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
41,200,5.1,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
42,200,5.21,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
44,200,1.64,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
46,200,4.13,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
47,200,3.84,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
43,200,6.71,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
48,200,3.87,"{""resposta"":""Peço desculpas pelo erro anterior. Estou funcionando novamente!\n\nAqui vai uma curiosidade: você sabia que a Estrela do Norte, que me inspirou, não é uma estrela única, mas sim três estr"
45,200,4.02,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
49,200,3.39,"{""resposta"":""Erro ao consultar o modelo remoto. Tente novamente em alguns instantes.""}"
